app_name,permissions
air.net.risensoft.bt.modern4.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.INTERNET']"
air.net.risensoft.bt.modern6.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.INTERNET']"
air.net.risensoft.bt.modern9.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.INTERNET']"
air.net.roseverte.easttower.en.apk,"['com.android.vending.CHECK_LICENSE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'com.android.vending.BILLING']"
air.net.tongsluigi.satotimer.apk,"['android.permission.DISABLE_KEYGUARD', 'android.permission.VIBRATE', 'android.permission.WAKE_LOCK']"
air.net.treatmypet.treatmypetDOTnet.apk,"['com.android.vending.CHECK_LICENSE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.CAMERA', 'android.permission.INTERNET', 'android.permission.RECORD_AUDIO']"
air.net.vocapp.spanishVerbPhrases.apk,"['android.permission.VIBRATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'com.android.vending.BILLING', 'android.permission.RECORD_AUDIO']"
air.NetThatSolid.apk,"['android.permission.DISABLE_KEYGUARD', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK']"
air.NewLookHairsalon.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']"
air.NinjaReact.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'android.permission.DISABLE_KEYGUARD', 'android.permission.BROADCAST_STICKY', 'android.permission.INTERNET']"
air.nl.basiscommunicatie.bonairelookbook.apk,"['android.permission.DISABLE_KEYGUARD', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']"
