app_name,permissions
biz.app4mobile.app_a50cbf5700d14aad89c0ffdd59a439e6.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_ae7065799cdb4f489646bf10ca43f26b.app.permission.RECEIVE_ADM_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET', 'biz.app4mobile.app_ae7065799cdb4f489646bf10ca43f26b.app.permission.C2D_MESSAGE']"
biz.app4mobile.app_a6d73731b55544c7a59b01ecc779f697.app.apk,"['biz.app4mobile.app_b0063a80b31047c0a63793d8c6486834.app.permission.C2D_MESSAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'biz.app4mobile.app_b0063a80b31047c0a63793d8c6486834.app.permission.RECEIVE_ADM_MESSAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_a9161ae4f35f4c38ae3b866fe0745176.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_b0442aa896e9443487591fcfcb4655f6.app.permission.C2D_MESSAGE', 'biz.app4mobile.app_b0442aa896e9443487591fcfcb4655f6.app.permission.RECEIVE_ADM_MESSAGE', 'biz.app4mobile.app_b0442aa896e9443487591fcfcb4655f6.app.permission.MAPS_RECEIVE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_a9eeb5c346f948ecbc896a67a0e1d06f.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_b067ca4012e54b3cbb9c06849e2437ca.app.permission.RECEIVE_ADM_MESSAGE', 'biz.app4mobile.app_b067ca4012e54b3cbb9c06849e2437ca.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_ad161610fc8f43bfb1d774843347a7ae.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_b0d88833c6454b4ba4c86f81c8ad349d.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_b0d88833c6454b4ba4c86f81c8ad349d.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_ae7065799cdb4f489646bf10ca43f26b.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_b47c65416c1247f3ad9e244fa1d88129.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_b47c65416c1247f3ad9e244fa1d88129.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_b0063a80b31047c0a63793d8c6486834.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_b5ee52ca2c774fe3a1411546403f0fa9.app.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_b5ee52ca2c774fe3a1411546403f0fa9.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_b0442aa896e9443487591fcfcb4655f6.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_b62d0f7741304ec9b586acf3b001d5b5.app.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.RECEIVE_SMS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_b62d0f7741304ec9b586acf3b001d5b5.app.permission.RECEIVE_ADM_MESSAGE', 'biz.app4mobile.app_b62d0f7741304ec9b586acf3b001d5b5.app.permission.MAPS_RECEIVE', 'android.permission.CAMERA', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_b067ca4012e54b3cbb9c06849e2437ca.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_ba136f84ca4346dfb061a450cf69a80d.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'biz.app4mobile.app_ba136f84ca4346dfb061a450cf69a80d.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_b0d88833c6454b4ba4c86f81c8ad349d.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_bc6229cd396f48adb266fd399cdacf00.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'biz.app4mobile.app_bc6229cd396f48adb266fd399cdacf00.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_b47c65416c1247f3ad9e244fa1d88129.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_bc7ce1bc222f40fb949266253772ded0.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_bc7ce1bc222f40fb949266253772ded0.app.permission.C2D_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_b5ee52ca2c774fe3a1411546403f0fa9.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_bd28c8fd6ce145fcbced4996e9640fdb.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_bd28c8fd6ce145fcbced4996e9640fdb.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_b62d0f7741304ec9b586acf3b001d5b5.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'com.google.android.providers.gsf.permission.READ_GSERVICES', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_bd87481f8c3c46c78b6b316fa660e7f9.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET', 'biz.app4mobile.app_bd87481f8c3c46c78b6b316fa660e7f9.app.permission.C2D_MESSAGE']"
biz.app4mobile.app_ba136f84ca4346dfb061a450cf69a80d.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'biz.app4mobile.app_c2c54a63b42248eb8f593899e63d4df5.app.permission.C2D_MESSAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_c2c54a63b42248eb8f593899e63d4df5.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_baa9394d83c9472184dacb813965c695.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_c8745fcfef394f61a37ba576e272c904.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'biz.app4mobile.app_c8745fcfef394f61a37ba576e272c904.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_bc6229cd396f48adb266fd399cdacf00.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_c87bcfbe75574910904959d0792d90fd.app.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_c87bcfbe75574910904959d0792d90fd.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_bc7ce1bc222f40fb949266253772ded0.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_c946e98bbf494540838de4a4a28ea4ae.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_c946e98bbf494540838de4a4a28ea4ae.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_bd28c8fd6ce145fcbced4996e9640fdb.app.apk,"['biz.app4mobile.app_c9be19f8f423417293a1c32a614b9fc6.app.permission.C2D_MESSAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_c9be19f8f423417293a1c32a614b9fc6.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_bd87481f8c3c46c78b6b316fa660e7f9.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_cba6eab3e6de4d5e8317819937fa0d5f.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_cba6eab3e6de4d5e8317819937fa0d5f.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_c2c54a63b42248eb8f593899e63d4df5.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'biz.app4mobile.app_cbe73b5aa3f8403c91f6455ea9330ffb.app.permission.C2D_MESSAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'biz.app4mobile.app_cbe73b5aa3f8403c91f6455ea9330ffb.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_c4c2222fadf44f299b73b4cc22456709.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_cc4fda0f66f94dd2b6da0c45933e4050.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_cc4fda0f66f94dd2b6da0c45933e4050.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_c8745fcfef394f61a37ba576e272c904.app.apk,"['biz.app4mobile.app_cc9016dccd744ecfbbd3326df136c978.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_cc9016dccd744ecfbbd3326df136c978.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_c87bcfbe75574910904959d0792d90fd.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'biz.app4mobile.app_cd750f4beff4444185dc09aa2959b686.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_cd750f4beff4444185dc09aa2959b686.app.permission.C2D_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_c946e98bbf494540838de4a4a28ea4ae.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_ce72ecc68cf143398e1f944df702d555.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_ce72ecc68cf143398e1f944df702d555.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_c9be19f8f423417293a1c32a614b9fc6.app.apk,"['biz.app4mobile.app_cf54817c8ce141f1a6c7d4922f43fd88.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_cf54817c8ce141f1a6c7d4922f43fd88.app.permission.C2D_MESSAGE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_cba6eab3e6de4d5e8317819937fa0d5f.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_cfc95f4fbe344428b3da5e3977f5877d.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_cfc95f4fbe344428b3da5e3977f5877d.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.CAMERA', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_cbe73b5aa3f8403c91f6455ea9330ffb.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'biz.app4mobile.app_d557d1bafcef4d1bb3b05acd7f37b60e.app.permission.C2D_MESSAGE', 'android.permission.CAMERA', 'biz.app4mobile.app_d557d1bafcef4d1bb3b05acd7f37b60e.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_cc4fda0f66f94dd2b6da0c45933e4050.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_d57be90f82b34d73ab48c8f4b807cd48.app.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_d57be90f82b34d73ab48c8f4b807cd48.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET']"
biz.app4mobile.app_cc9016dccd744ecfbbd3326df136c978.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_d6ab66cd4d604799b3d25abad8b722e3.app.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_d6ab66cd4d604799b3d25abad8b722e3.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET']"
biz.app4mobile.app_cd750f4beff4444185dc09aa2959b686.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'biz.app4mobile.app_d86bf040aa6c46b29796aeb5d34e97dd.app.permission.C2D_MESSAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_d86bf040aa6c46b29796aeb5d34e97dd.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_ce72ecc68cf143398e1f944df702d555.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'biz.app4mobile.app_da7d03ab233543f1ae2ae699ef554493.app.permission.C2D_MESSAGE', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_da7d03ab233543f1ae2ae699ef554493.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
biz.app4mobile.app_cf54817c8ce141f1a6c7d4922f43fd88.app.apk,"['biz.app4mobile.app_db713fb9d7d1414085a064be7e5f8216.app.permission.C2D_MESSAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET', 'biz.app4mobile.app_db713fb9d7d1414085a064be7e5f8216.app.permission.RECEIVE_ADM_MESSAGE']"
biz.app4mobile.app_cfc95f4fbe344428b3da5e3977f5877d.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'biz.app4mobile.app_ddd1ee234c6245c0961a6776d1138cd1.app.permission.RECEIVE_ADM_MESSAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'android.permission.INTERNET', 'biz.app4mobile.app_ddd1ee234c6245c0961a6776d1138cd1.app.permission.C2D_MESSAGE']"
biz.app4mobile.app_d557d1bafcef4d1bb3b05acd7f37b60e.app.apk,"['com.amazon.device.messaging.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.GET_ACCOUNTS', 'android.permission.CAMERA', 'biz.app4mobile.app_e4bda714a9984a8ea517facba7b1b908.app.permission.C2D_MESSAGE', 'biz.app4mobile.app_e4bda714a9984a8ea517facba7b1b908.app.permission.RECEIVE_ADM_MESSAGE', 'com.conduit.app.permission.MAPS_RECEIVE', 'android.permission.INTERNET', 'com.google.android.providers.gsf.permission.READ_GSERVICES']"
